taxonKey,scientificName,n_occurrences_natura,n_sites,n_ms,year_min,year_max,n_years,temporal_span,temporal_completeness
6178183,"Podiceps auritus auritus (Linnaeus, 1758)",6,4,2,2023,2024,2,1,1.0
6178228,"Calonectris diomedea borealis (Cory, 1881)",197,18,3,1985,2021,13,36,0.35135135135135137
6178281,"Pluvialis apricaria altifrons (C.L.Brehm, 1831)",3,3,1,2014,2021,2,7,0.25
6178325,"Anser albifrons flavirostris Dalgety & P.Scott, 1948",351,23,5,1990,2024,15,34,0.42857142857142855
6178421,"Cygnus columbianus bewickii Yarrell, 1830",3879,412,21,1960,2025,56,65,0.8484848484848485
6180055,"Tetrao urogallus aquitanicus C.Ingram, 1915",46,2,1,2006,2012,6,6,0.8571428571428571
6180140,"Tetrastes bonasia rupestris (C.L.Brehm, 1831)",2,2,1,2016,2016,1,0,1.0
6180141,"Tetrastes bonasia styriacus (von Jordans & Schiebel, 1944)",2,2,1,2015,2015,1,0,1.0
6180144,"Tetrastes bonasia schiebeli (Kleinschmidt, 1943)",3,2,1,2019,2019,1,0,1.0
6486579,"Puffinus yelkouan mauretanicus Lowe, 1921",13,6,1,2007,2017,5,10,0.45454545454545453
6486580,"Puffinus puffinus mauretanicus Lowe, 1921",1,1,1,2014,2014,1,0,1.0
6541400,"Luscinia svecica azuricollis (Rafinesque, 1814)",14,8,2,2004,2025,7,21,0.3181818181818182
7059685,"Tetrastes bonasia bonasia (Linnaeus, 1758)",5,1,1,2015,2015,1,0,1.0
7059849,"Dendrocopos syriacus syriacus (Hemprich & Ehrenberg, 1833)",3,3,2,2019,2024,2,5,0.3333333333333333
7059939,"Haliaeetus albicilla albicilla (Linnaeus, 1758)",28,18,5,1899,2025,12,126,0.09448818897637795
7059971,"Gavia arctica arctica (Linnaeus, 1758)",9,8,3,1893,2023,7,130,0.05343511450381679
7059979,"Pluvialis apricaria apricaria (Linnaeus, 1758)",6,2,1,1927,1931,2,4,0.4
7060271,"Caprimulgus europaeus europaeus Linnaeus, 1758",9,3,2,1878,1893,3,15,0.1875
7060350,"Aegolius funereus funereus (Linnaeus, 1758)",3,3,2,1992,2023,2,31,0.0625
7060471,"Emberiza cineracea cineracea C.L.Brehm, 1855",20,2,1,2018,2025,5,7,0.625
7094881,"Cursorius cursor cursor (Latham, 1787)",102,7,1,2009,2025,15,16,0.8823529411764706
7094886,"Burhinus oedicnemus oedicnemus (Linnaeus, 1758)",80,16,3,1999,2023,7,24,0.28
7094915,"Circus aeruginosus aeruginosus (Linnaeus, 1758)",221,75,14,1902,2025,18,123,0.14516129032258066
7094921,"Milvus migrans migrans (Boddaert, 1783)",233,96,8,2000,2025,22,25,0.8461538461538461
7094923,"Milvus milvus milvus (Linnaeus, 1758)",263,119,11,1877,2025,28,148,0.18791946308724833
7094926,"Neophron percnopterus percnopterus (Linnaeus, 1758)",17,10,2,2013,2025,8,12,0.6153846153846154
7094929,"Elanus caeruleus caeruleus (Desfontaines, 1789)",19,9,3,2014,2025,8,11,0.6666666666666666
7094932,"Gypaetus barbatus barbatus (Linnaeus, 1758)",12,8,2,1999,2023,3,24,0.12
7180497,"Thalasseus sandvicensis sandvicensis (Latham, 1787)",6072,45,6,1869,2024,76,155,0.48717948717948717
7190956,"Botaurus stellaris stellaris (Linnaeus, 1758)",5,3,2,1921,2024,3,103,0.028846153846153848
7190958,"Nycticorax nycticorax nycticorax (Linnaeus, 1758)",89,56,10,1987,2025,17,38,0.4358974358974359
7190962,"Ixobrychus minutus minutus (Linnaeus, 1766)",6,4,1,2021,2022,2,1,1.0
7190964,"Egretta garzetta garzetta (Linnaeus, 1766)",338,134,13,2007,2025,17,18,0.8947368421052632
7190969,"Ardea alba alba Linnaeus, 1758",445,79,15,1998,2025,28,27,1.0
7190973,"Platalea leucorodia leucorodia Linnaeus, 1758",150,54,13,2011,2025,13,14,0.8666666666666667
7191070,"Lyrurus tetrix tetrix (Linnaeus, 1758)",3,3,3,2008,2023,2,15,0.125
7191075,"Alectoris barbara barbara (Bonnaterre, 1790)",2,2,1,2006,2006,1,0,1.0
7191124,"Ciconia ciconia ciconia (Linnaeus, 1758)",2297,579,23,1987,2025,24,38,0.6153846153846154
7191153,"Buteo rufinus rufinus (Cretzschmar, 1829)",12,9,5,1892,2024,6,132,0.045112781954887216
7191165,"Aquila fasciata fasciata Vieillot, 1822",32,6,2,2015,2025,7,10,0.6363636363636364
7191166,"Aquila chrysaetos chrysaetos (Linnaeus, 1758)",44,21,6,1898,2025,9,127,0.0703125
7191171,"Circus cyaneus cyaneus (Linnaeus, 1766)",8,6,1,1897,1928,5,31,0.15625
7191178,"Gyps fulvus fulvus (Hablizl, 1783)",505,133,10,1987,2025,18,38,0.46153846153846156
