taxonKey,scientificName,n_occurrences_natura,n_sites,n_ms,year_min,year_max,n_years,temporal_span,temporal_completeness
3688752,Biscutella laevigata subsp. prinzerae Raffaelli & Baldoin,2,1,1,2024,2024,1,0,1.0
3688773,Sisymbrium crassifolium subsp. laxiflorum (Boiss.) O.Bolòs & Vigo,302,31,1,1984,2023,32,39,0.8
3688812,Biscutella laevigata var. cardonica O.Bolòs & Masclans,4,2,1,2012,2012,1,0,1.0
3688827,Biscutella laevigata subsp. australis Raffaelli & Baldoin,2,2,1,2024,2024,1,0,1.0
3688862,Biscutella intermedia subsp. pauana A.González & G.López,4,4,1,1968,2021,3,53,0.05555555555555555
3688884,Erysimum albescens (Webb & Berthel.) Bramwell,20,7,1,2011,2025,3,14,0.2
3689021,Ptilotrichum cyclocarpum subsp. pindicum Hartvig,1,1,1,2007,2007,1,0,1.0
3689418,Sisymbrium austriacum var. macropetalum Uribe-Ech.,1,1,1,1999,1999,1,0,1.0
3689431,Draba dubia subsp. nevadensis (Pau) Molero Mesa & Pérez Raya,2,1,1,,,0,,
3689463,Draba dolichostyla (O.E.Schulz) Kit Tan & Stevan.,1,1,1,2006,2006,1,0,1.0
3689665,Arabidopsis halleri subsp. dacica (Heuff.) Kolník,1,1,1,1992,1992,1,0,1.0
3689824,Cardamine silana Marhold & Perný,2,2,1,2024,2024,1,0,1.0
3690373,Aubrieta × cultorum Bergmans,35,19,2,1994,2024,10,30,0.3225806451612903
3690546,Alyssum stribrnyi Velen.,6,2,1,2012,2012,1,0,1.0
3690558,Cardamine polemonioides Rouy,5,3,2,2011,2025,5,14,0.3333333333333333
3690664,Draba boerhavii H.C.Hall,8,6,1,1991,2024,5,33,0.14705882352941177
3690828,Alyssum rhodanense Jord. & Fourr.,99,1,1,1936,2017,5,81,0.06097560975609756
3690903,"Coincya tournefortii (Gouan) Alcaraz, T.E.Díaz, Rivas Mart. & Sánchez-Gómez",22,16,3,2022,2025,4,3,1.0
3690985,Alyssum pirinicum (Stoj. & Acht.) Ančev,3,1,1,2007,2014,3,7,0.375
3690997,Cardamine occulta Hornem.,36,25,6,2014,2025,11,11,0.9166666666666666
3691132,Alyssum orophilum Jord. & Fourr.,74,12,2,2007,2024,14,17,0.7777777777777778
3691457,Draba tomentosa subsp. subnivalis (Braun-Blanq.) O.Bolòs & Vigo,1,1,1,1971,1971,1,0,1.0
3691523,Alyssum lusitanicum Brot. ex Nyman,1265,3,1,2010,2014,5,4,1.0
3691546,Alyssum loiseleurii subsp. gallaecicum S.Ortiz,5,3,1,,,0,,
3691571,"Draba aizoides subsp. estevei Rivas Mart., M.E.García & Penas",2,1,1,1999,1999,1,0,1.0
3691608,Brassica repanda subsp. humilis (DC.) O.Bolòs & Vigo,8,5,1,1934,2002,4,68,0.057971014492753624
